名称	道具种类	具体类别	详细类别	动画文件名	对应物件索引	宽度	高度	说明文字	五行属性	价格	等级	是否叠放	基础属性1类型	基础属性1最小值	基础属性1最大值	基础属性2类型	基础属性2最小值	基础属性2最大值	基础属性3类型	基础属性3最小值	基础属性3最大值	基础属性4类型	基础属性4最小值	基础属性4最大值	基础属性5类型	基础属性5最小值	基础属性5最大值	基础属性6类型	基础属性6最小值	基础属性6最大值	基础属性7类型	基础属性7最小值	基础属性7最大值	需求属性1类型	需求属性1数值	需求属性2类型	需求属性2数值	需求属性3类型	需求属性3数值	需求属性4类型	需求属性4数值	需求属性5类型	需求属性5数值	需求属性6类型	需求属性6数值	魔法属性索引1(0级)	魔法属性索引1(10级)	魔法属性索引2(0级)	魔法属性索引2(10级)	魔法属性索引3(0级)	魔法属性索引3(10级)	魔法属性索引4(0级)	魔法属性索引4(10级)	魔法属性索引5(0级)	魔法属性索引5(10级)	魔法属性索引6(0级)	魔法属性索引6(10级)	所在套装	6级技能ID	10级技能ID
[天赐的]魔煌之蹬踏靴	0	5	0	\spr\item\equip\boots\obj-shoes04.spr	26	2	2	白金装备	2	99999	10	0	30	140	140	31	80	80																36	120	32	110	39	7							4	4	320	320	255	255	312	312	6	6	256	256	22		
[天赐的]魔嗜之烈焰冠冕	0	7	2	\spr\item\equip\cap\obj-ma-cap09-3.spr	28	2	2	白金装备	3	99999	10	0	30	315	315	31	85	85																36	120	32	110	39	7							2	616	345	345	423	642	307	637	6	609	704	704	23	848	867
[天赐的]魔嗜之厉魔噬心链	0	4	1	\spr\item\equip\nick\obj-neck16.spr	36	2	1	白金装备	1	99999	10	0																						36	120	39	7									2	2	317	317	8	8	107	107					23		
[天赐的]魔嗜之业火幽冥戒	0	3	0	\spr\item\equip\ring\obj-ring03.spr	37	1	1	白金装备	2	99999	10	0																						36	120	39	7									129	129	130	130	747	739	748	740	744	752			23	883	882
[天赐的]魔嗜之血玉七杀佩	0	9	1	\spr\item\equip\waist\obj-waist13.spr	34	1	2	白金装备	0	99999	10	0																						36	120	39	7									2	616	309	639	666	666	311	598	6	609	420	640	23	791	823
[天赐的]魔嗜之山海飞鸿履	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	白金装备	4	99999	10	0	30	140	140	31	80	80																36	120	32	110	39	7							2	616	320	588	521	521	312	596	630	631	522	522	23	773	805
[天赐的]凌岳之太极剑	0	0	0	\spr\item\equip\closeweapon\obj-sword25.spr	9	1	3	白金装备	4	99999	10	0	28	46	46	29	86	86	167	0	0	31	99	99										36	120	32	80	39	8							2	616	152	634	6	609	311	598	423	31	474	474	24	774	806
[天赐的]凌岳之无我道袍	0	2	15	\spr\item\equip\armor\obj-ma-cloth06-3.spr	24	2	3	白金装备	3	99999	10	0	30	630	630	31	90	90																36	120	32	130	39	8							2	2	306	306	263	263	313	313	6	6	285	285	24		
[天赐的]凌岳之怒雷法戒	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	白金装备	1	99999	10	0																						36	120	39	8									2	616	309	639	667	667	313	597	6	609	417	31	24	795	827
[天赐的]凌岳之无极玄玉佩	0	9	1	\spr\item\equip\waist\obj-waist20.spr	36	1	2	白金装备	2	99999	10	0																						36	120	39	8									2	616	347	347	524	524	313	597	715	716	526	526	24	847	871
[天赐的]凌岳之天地玄黄戒	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	白金装备	0	99999	10	0																						36	120	39	8									129	129	130	130	747	739	748	740	745	753			24	879	878
[天赐的]及丰之真武剑	0	0	0	\spr\item\equip\closeweapon\obj-sword25.spr	9	1	3	白金装备	2	99999	10	0	28	46	46	29	86	86	167	0	0	31	99	99										36	120	32	135	39	8							46	592	69	593	51	601	73	73	43	43	474	474	25	766	767
[天赐的]及丰之三清符	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	白金装备	0	99999	10	0	31	60	60																			36	120	39	8									2	616	710	92	62	705	95	96	89	706	107	107	25	850	870
[天赐的]及丰之玄丝三段锦	0	6	0	\spr\item\equip\sash\obj-sash10.spr	32	2	1	白金装备	4	99999	10	0	30	140	140	31	80	80																36	120	32	110	39	8							2	616	309	639	668	668	307	637	421	8	425	643	25	794	826
[天赐的]及丰之翠玉玄黄佩	0	9	1	\spr\item\equip\waist\obj-waist20.spr	36	1	2	白金装备	3	99999	10	0																						36	120	39	8									2	2	348	348	258	258	313	313	6	6	260	260	25		
[天赐的]及丰之青松法戒	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	白金装备	1	99999	10	0																						36	120	39	8									129	129	130	130	747	739	748	740	745	753			25	881	880
[天赐的]霜晶之千年寒铁	0	0	1	\spr\item\equip\closeweapon\obj-blade25.spr	10	1	4	白金装备	2	99999	10	0	28	40	40	29	114	114	167	-20	-20	31	99	99										36	120	32	135	39	9							113	595	69	593	46	592	73	73	43	43	476	476	26	766	767
[天赐的]霜晶之傲霜道袍	0	2	15	\spr\item\equip\armor\obj-ma-cloth05-3.spr	24	2	3	白金装备	0	99999	10	0	30	720	720	31	90	90																36	120	32	260	39	9							4	4	306	306	267	267	317	317	6	6	278	278	26		
[天赐的]霜晶之清风缕带	0	6	0	\spr\item\equip\sash\obj-sash10.spr	33	2	1	白金装备	4	99999	10	0	30	160	160	31	80	80																36	120	32	135	39	9							418	4	309	639	669	669	307	637	6	609	417	31	26	797	829
[天赐的]霜晶之天清冰晶手	0	8	1	\spr\item\equip\bangle\obj-bangle20.spr	34	1	2	白金装备	3	99999	10	0	30	140	140	31	80	80																36	120	32	110	39	9							2	616	349	349	707	707	313	597	6	609	708	708	26	846	873
[天赐的]霜晶之风暴指环	0	3	0	\spr\item\equip\ring\obj-ring07.spr	37	1	1	白金装备	1	99999	10	0																						36	120	39	9									129	129	130	130	747	739	748	740	745	753			26	879	878
[天赐的]雷穹之寒松冰柏冠	0	7	1	\spr\item\equip\cap\obj-ma-cap05-2.spr	28	2	2	白金装备	4	99999	10	0	30	315	315	31	85	85																36	120	32	110	39	9							418	618	304	304	152	627	313	597	6	610	623	623	27	774	806
[天赐的]雷穹之天地护符	0	4	1	\spr\item\equip\nick\obj-neck18.spr	36	2	1	白金装备	3	99999	10	0																						36	120	39	9									4	701	95	96	26	709	107	107	322	313	528	528	27	848	872
[天赐的]雷穹之风雷青锦带	0	6	0	\spr\item\equip\sash\obj-sash09.spr	32	2	1	白金装备	1	99999	10	0	30	140	140	31	80	80																36	120	32	110	39	9							418	4	309	639	670	670	424	646	6	609	417	31	27	796	828
[天赐的]雷穹之灵玉蕴雷	0	9	1	\spr\item\equip\waist\obj-waist19.spr	36	1	2	白金装备	2	99999	10	0																						36	120	39	9									2	2	350	350	275	275	273	273					27		
[天赐的]雷穹之九天引雷戒	0	3	0	\spr\item\equip\ring\obj-ring08.spr	37	1	1	白金装备	0	99999	10	0																						36	120	39	9									129	129	130	130	747	739	748	740	745	753			27	881	880
[天赐的]雾幻之北冥道冠	0	7	1	\spr\item\equip\cap\obj-ma-cap05-2.spr	28	2	2	白金装备	0	99999	10	0	30	315	315	31	85	85																36	120	32	110	39	9							4	4	271	271	351	351	313	313	6	6	352	352	28		
[天赐的]雾幻之羁绊符咒	0	4	1	\spr\item\equip\nick\obj-neck20.spr	36	2	1	白金装备	4	99999	10	0																						36	120	39	9									2	2	313	313	169	169	95	95	8	8	107	107	28		
[天赐的]雾幻之束心指环	0	3	0	\spr\item\equip\ring\obj-ring05.spr	37	1	1	白金装备	3	99999	10	0																						36	120	39	9									129	129	130	130	747	739	748	740	745	753			28	883	882
[天赐的]雾幻之清影玄玉佩	0	9	1	\spr\item\equip\waist\obj-waist18.spr	36	1	2	白金装备	1	99999	10	0																						36	120	39	9									418	418	309	309	353	353	307	307	6	6	417	417	28		
[天赐的]雾幻之松风雪影靴	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	白金装备	2	99999	10	0	30	140	140	31	80	80																36	120	32	110	39	9							418	418	354	354	320	320	88	88	6	6	423	423	28		
雅典之魂	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	<color=Yellow>向在雅典盛会上为国争光的运动健儿们致以最崇高的敬意！<color>	2	99999	10	0																						36	60											129		130										29		
北京之梦	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	<color=Yellow>北京-2008-绚烂的舞台-让我们携起手来共创辉煌！<color>	3	99999	10	0																						36	60											129		130										29		
洞察之白金雕龙戒	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	黄金装备	3	99999	10	0	31	60	60																			36	85											53		6		301		2		11		100		30		
洞察之白玉乾坤佩	0	9	1	\spr\item\equip\waist\obj-waist20.spr	36	1	2	黄金装备	4	99999	10	0	31	60	60																			36	80											65		6		298		2		11		100		30		
洞察之白金锈凤戒	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	黄金装备	0	99999	10	0	31	60	60																			36	85											53		6		301		2		11		100		30		
洞察之翡翠玉项圈	0	4	1	\spr\item\equip\nick\obj-neck20.spr	36	2	1	黄金装备	2	99999	10	0	31	60	60																			36	85											65		6		298		2		11		100		30		
定业头冠	0	7	6	\spr\item\equip\cap\obj-ma-cap20-3.spr	28	2	2	黄金装备	0	99999	10	0	30	310	310	31	60	60																36	90																							31		
定业战袍	0	2	20	\spr\item\equip\armor\obj-ma-cloth20-3.spr	22	2	3	黄金装备	4	99999	10	0	30	630	630	31	60	60																36	90																							31		
定业腰带	0	6	1	\spr\item\equip\sash\obj-sash20.spr	33	2	1	黄金装备	3	99999	10	0	30	140	140	31	60	60																36	90																							31		
定业护腕	0	8	1	\spr\item\equip\bangle\obj-bangle20.spr	34	1	2	黄金装备	1	99999	10	0	30	115	115	31	60	60																36	90																							31		
定业战靴	0	5	1	\spr\item\equip\boots\obj-shoes10.spr	26	2	2	黄金装备	2	99999	10	0	30	140	140	31	60	60																36	90																							31		
定业扳指	0	3	0	\spr\item\equip\ring\obj-ring08.spr	37	1	1	黄金装备	2	99999	10	0	31	60	60																			36	90																							31		
定国头冠	0	7	4	\spr\item\equip\cap\obj-ma-cap15-3.spr	31	2	2	黄金装备	0	99999	10	0	30	350	350	31	60	60																36	99																							32		
定国战袍	0	2	18	\spr\item\equip\armor\obj-ma-cloth14-1.spr	23	2	3	黄金装备	4	99999	10	0	30	720	720	31	60	60																36	99																							32		
定国腰箍	0	6	0	\spr\item\equip\sash\obj-sash10.spr	33	2	1	黄金装备	3	99999	10	0	30	160	160	31	60	60																36	99																							32		
定国护腕	0	8	1	\spr\item\equip\bangle\obj-bangle19.spr	34	1	2	黄金装备	1	99999	10	0	30	135	135	31	60	60																36	99																							32		
定国战靴	0	5	1	\spr\item\equip\boots\obj-shoes09.spr	26	2	2	黄金装备	2	99999	10	0	30	160	160	31	60	60																36	99																							32		
定国扳指	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	黄金装备	2	99999	10	0	31	60	60																			36	99																							32		
定国之青纱长衫	0	2	3	\Spr\item\equip\armor\obj-ma-cloth11-3.spr	22	2	3	黄金装备	0	99999	8	0	30	630	630	31	80	80																36	85											306		2										33		
定国之钨砂发冠	0	7	3	\Spr\item\equip\cap\obj-ma-cap12-1.spr	28	2	2	黄金装备	2	99999	9	0	30	260	260	31	70	70																36	75											1		307										33		
定国之赤绢软靴	0	5	1	\Spr\item\equip\boots\obj-shoes06.spr	26	2	2	黄金装备	1	99999	8	0	30	140	140	31	70	70																36	80											308		2										33		
定国之紫藤护腕	0	8	1	\Spr\item\equip\bangle\obj-bangle13.spr	34	1	2	黄金装备	3	99999	8	0	30	111	111	31	60	60																36	75											1		309										33		
定国之银蚕腰带	0	6	1	\Spr\item\equip\sash\obj-sash17.spr	33	2	1	黄金装备	4	99999	8	0	30	140	140	31	60	60																36	75											1		28										33		
安邦之冰晶石项链	0	4	0	\Spr\item\equip\nick\obj-neck07.spr	36	2	1	黄金装备	4	99999	10	0																						36	85											310												34		
安邦之菊花石指环	0	3	0	\Spr\item\equip\ring\obj-ring07.spr	37	1	1	黄金装备	2	99999	8	0																						36	80											6		312										34		
安邦之田黄石玉佩	0	9	1	\Spr\item\equip\waist\obj-waist18.spr	36	1	2	黄金装备	1	99999	8	0																						36	75											6		313										34		
安邦之鸡血石戒指	0	3	0	\Spr\item\equip\ring\obj-ring06.spr	37	1	1	黄金装备	3	99999	8	0																						36	80											6		311										34		
天煌龙器之龙抬头	0	7	4	\spr\item\equip\cap\obj-ma-cap08-3.spr	28	2	2	黄金装备	2	99999	6	0	30	315	315	31	75	75																36	60											2		316										35		
天煌龙器之白龙息	0	2	18	\spr\item\equip\armor\obj-ma-cloth13-3.spr	22	2	3	黄金装备	0	99999	6	0	30	630	630	31	80	80																36	60											2		316										35		
天煌龙器之镇冥之链	0	4	1	\spr\item\equip\nick\obj-neck13.spr	36	2	1	黄金装备	1	99999	6	0																						36	60											6		316										35		
天煌龙器之九现之指	0	3	0	\Spr\item\equip\ring\obj-ring08.spr	37	1	1	黄金装备	2	99999	6	0																						36	60											6		316										35		
天煌龙器之玉逍遥	0	6	1	\Spr\item\equip\sash\obj-sash20.spr	33	2	1	黄金装备	4	99999	6	0	30	140	140	31	70	70																36	60											2		316										35		
天煌龙器之黄金鳞	0	8	1	\Spr\item\equip\bangle\obj-bangle20.spr	34	1	2	黄金装备	3	99999	6	0	30	111	111	31	70	70																36	60											2		316										35		
天煌龙器之磐龙瑰	0	9	1	\Spr\item\equip\waist\obj-waist16.spr	36	1	2	黄金装备	0	99999	6	0																						36	60											6		316										35		
天煌龙器之龙哭千里	0	5	1	\Spr\item\equip\boots\obj-shoes07.spr	26	2	2	黄金装备	4	99999	6	0	30	140	140	31	75	75																36	60											2		316										35		
天煌龙器之怒龙之瞳	0	3	0	\Spr\item\equip\ring\obj-ring09.spr	37	1	1	黄金装备	1	99999	6	0																						36	60											6		316										35		
金枫之青阳盔	0	7	4	\spr\item\equip\cap\obj-ma-cap13-2.spr	28	2	2	黄金装备	2	99999	5	0	30	315	315	31	75	75																36	40											2		358		6								36		
金枫之麒麟血	0	2	18	\spr\item\equip\armor\obj-ma-cloth14-1.spr	22	2	3	黄金装备	0	99999	5	0	30	630	630	31	80	80																36	40											2		37		6								36		
金枫之濯之链光	0	4	1	\spr\item\equip\nick\obj-neck19.spr	36	2	1	黄金装备	1	99999	5	0																						36	30											366		355		368								36		
金枫之公谨三叹	0	3	0	\spr\item\equip\ring\obj-ring07.spr	37	1	1	黄金装备	2	99999	5	0																						36	40											367		318		368								36		
金枫之夺魂玉带	0	6	1	\spr\item\equip\sash\obj-sash09.spr	33	2	1	黄金装备	4	99999	5	0	30	140	140	31	70	70																36	50											314		365		363								36		
金枫之后羿引弓	0	8	1	\spr\item\equip\bangle\obj-bangle20.spr	34	1	2	黄金装备	3	99999	5	0	30	111	111	31	70	70																36	50											314		359		363								36		
金枫之兰亭玉	0	9	1	\spr\item\equip\waist\obj-waist17.spr	36	1	2	黄金装备	0	99999	5	0																						36	40											367		361		368								36		
金枫之千里草上飞	0	5	1	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	黄金装备	4	99999	5	0	30	140	140	31	75	75																36	30											2		360		364								36		
金枫之铜雀春深	0	3	0	\Spr\item\equip\ring\obj-ring06.spr	37	1	1	黄金装备	1	99999	5	0																						36	60											367		356		368								36		
侠骨之铁血衫	0	2	3	\spr\item\equip\armor\obj-ma-cloth11-3.spr	22	2	3	黄金装备	2	99999	5	0	30	360	360	31	60	60																36	40	32	50	33	50			38	0			2		306										37		
侠骨之多情环	0	4	1	\spr\item\equip\nick\obj-neck14.spr	36	2	1	黄金装备	2	99999	5	0																						36	35	38	0									6		26		2								37		
侠骨之丹心戒	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	黄金装备	0	99999	5	0																						36	45	38	0									55												37		
侠骨之情意结	0	9	1	\spr\item\equip\waist\obj-waist13.spr	36	1	2	黄金装备	4	99999	5	0																						36	50	38	0									3		84		366								37		
柔情之巾帼霓裳	0	2	11	\spr\item\equip\armor\obj-fm-cloth14-3.spr	25	2	3	黄金装备	0	99999	5	0	30	360	360	31	60	60																36	40	32	50	33	50			38	1			2		91		130								38		
柔情之淑女项链	0	4	0	\spr\item\equip\nick\obj-neck07.spr	36	2	1	黄金装备	0	99999	5	0																						36	35	38	1									6		34										38		
柔情之凤仪戒指	0	3	0	\spr\item\equip\ring\obj-ring08.spr	37	1	1	黄金装备	4	99999	5	0																						36	45	38	1									63												38		
柔情之慧心玉佩	0	9	0	\spr\item\equip\waist\obj-waist16.spr	36	1	2	黄金装备	3	99999	5	0																						36	50	38	1									1		95										38		
大马虎之摘星环	0	7	5	\spr\item\equip\cap\obj-ma-cap18-3.spr	28	2	2	黄金装备	3	99999	10	0	30	250	250	31	30	30																36	60	32	165	33	65							398		378		399		400		401		402		39		
大马虎之唐猊甲	0	2	4	\spr\item\equip\armor\obj-ma-cloth15-3.spr	22	2	3	黄金装备	2	99999	10	0	30	630	630	31	93	93																36	60	32	260									403		388		404		405		406				39		
大马虎之绿翡翠护身符	0	4	1	\spr\item\equip\nick\obj-neck20.spr	26	2	1	黄金装备	2	99999	10	0																						36	60											373		374		375		376						39		
大马虎之北京之梦	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	黄金装备	3	99999	10	0																						36	60											129		130										39		
大马虎之白金腰带	0	6	1	\spr\item\equip\sash\obj-sash20.spr	33	2	1	黄金装备	2	99999	10	0	30	140	140	31	15	15																36	60	32	164									407		388		399		405		408		413		39		
大马虎之天蚕护腕	0	8	1	\spr\item\equip\bangle\obj-bangle20.spr	34	1	2	黄金装备	3	99999	10	0	30	111	111	31	20	20																36	60	32	100									409		378		399		400		410				39		
大马虎之五色玉佩	0	9	1	\spr\item\equip\waist\obj-waist15.spr	36	1	2	黄金装备	3	99999	5	0																						36	27											384		385		386								39		
大马虎之天蚕靴	0	5	1	\spr\item\equip\boots\obj-shoes10.spr	26	2	2	黄金装备	2	99999	10	0	30	140	140	31	20	20																36	62	32	164									411		388		404		405		412				39		
大马虎之雅典之魂	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	黄金装备	2	99999	10	0																						36	60											129		130										39		
大马虎之奔雷钻龙枪	0	0	3	\spr\item\equip\closeweapon\obj-spear04.spr	12	1	4	黄金装备	2	99999	10	0	28	18	18	29	158	158	167	30	30	31	99	99										36	99	32	165	33	165	39	1					392		393		394		395		396		397		39		
鸿影之沈园晚醉	0	4	1	\spr\item\equip\nick\obj-neck09.spr	26	2	1	宋代大贾沈氏的传家之宝，以沈家世代居住的庄园为名，其光灼然不可逼视。	1	99999	10	0																						36	0											415		414										40		
鸿影之剑挂西方	0	3	0	\spr\item\equip\ring\obj-ring01.spr	37	1	1	宋高宗十三道金牌令箭招杀岳飞于风波亭。一位逃出来的副将带着这枚戒指亡命江湖。	2	99999	10	0																						36	0											314		414		6								40		
鸿影之苜蓿相忘	0	3	0	\spr\item\equip\ring\obj-ring02.spr	37	1	1	朋友们相携在春天去登高处，采摘苜蓿纷赠对方。如今山河残破，旧日的香气也已经忘却。	4	99999	10	0																						36	0											314		414		6								40		
鸿影之红袖招	0	9	1	\spr\item\equip\waist\obj-waist09.spr	36	1	2	诗人有云：“当年少年衫薄，骑马倚斜桥，满楼红袖招。”这是匠人为消逝的青春年代所造的怀念之物吧	3	99999	10	0																						36	0											314		414		6								40		
慧声	0	3	0	\spr\item\equip\ring\obj-ring04.spr	37	1	1	慧声妙解明禅心，去来无意随流云。	2	99999	6	0																						38	1											429		130		430								41		
缘君	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	取次花丛懒回顾，半缘修道半缘君。	2	99999	9	0																						38	0											429		130		430								41		
