效果	是否前缀	五行要求	等级要求	属性调整类别	参数1最小值	参数1最大值	参数2最小值	参数2最大值	参数3最小值	参数3最大值	效果说明
生命33				85	160	160	-1	-1	0	0	0
体力10				93	160	160	-1	-1	0	0	0
幸运7				135	20	20	-1	-1	0	0	0
内力24				89	160	160	-1	-1	0	0	0
体力11				93	200	200	-1	-1	0	0	0
力量10				97	-25	-25	-1	-1	0	0	0
打击回复13				113	50	60	-1	-1	0	0	0
减少眩晕时间8				110	20	40	-1	-1	0	0	0
内电伤4				171	400	500	-1	-1	0	0	0
跑速15				111	45	60	-1	-1	0	0	0
跑速16				111	50	70	-1	-1	0	0	0
缩短毒发间隔3				164	20	25	-1	-1	0	0	0
外毒点数5				125	40	50	-1	-1	0	0	0
外普%10				126	120	150	-1	-1	6	6	0
外普%11				126	160	200	-1	-1	6	6	0
外普点数7				121	60	70	-1	-1	0	0	0
外普点数8				121	70	80	-1	-1	0	0	0
吸内5				137	6	10	-1	-1	0	0	0
冰防14				105	30	35	-1	-1	0	0	0
毒防18				101	30	35	-1	-1	0	0	0
火防15				102	30	35	-1	-1	0	0	0
命中9				166	300	400	-1	-1	0	0	0
命中10				166	400	500	-1	-1	0	0	0
命中11				166	500	600	-1	-1	0	0	0
命中12				166	600	700	-1	-1	0	0	0
命中13				166	700	800	-1	-1	0	0	0
内冰伤7				169	100	200	-1	-1	0	0	0
内冰伤8				169	500	600	-1	-1	0	0	0
内火伤4				170	100	200	-1	-1	0	0	0
内火伤5				170	240	300	-1	-1	0	0	0
内力25				89	150	200	-1	-1	0	0	0
内力26				89	240	300	-1	-1	0	0	0
内力27				89	350	400	-1	-1	0	0	0
内力28				89	450	500	-1	-1	0	0	0
内力29				89	500	600	-1	-1	0	0	0
普防15				104	10	15	-1	-1	0	0	0
普防16				104	5	10	-1	-1	0	0	0
生命34				85	150	200	-1	-1	0	0	0
生命35				85	240	300	-1	-1	0	0	0
生命36				85	350	400	-1	-1	0	0	0
生命37				85	450	500	-1	-1	0	0	0
生命38				85	500	600	-1	-1	0	0	0
外功13				99	15	25	-1	-1	0	0	0
外功14				99	20	30	-1	-1	0	0	0
外功15				99	40	50	-1	-1	0	0	0
昆仑剑法2				139	3	3	-1	-1	168	168	0
龙爪虎抓2				139	3	3	-1	-1	271	271	0
命中14				166	900	1000	-1	-1	0	0	0
外毒点数6				125	30	40	-1	-1	0	0	0
内电伤5				171	700	800	-1	-1	0	0	0
内冰伤9				169	150	200	-1	-1	0	0	0
内冰伤10				169	300	400	-1	-1	0	0	0
内火伤6				170	100	200	-1	-1	0	0	0
内火伤7				170	350	400	-1	-1	0	0	0
内冰伤11				169	350	400	-1	-1	0	0	0
内冰伤12				169	700	800	-1	-1	0	0	0
内电伤6				171	500	600	-1	-1	0	0	0
生命39				85	100	160	-1	-1	0	0	0
雷防13				103	15	15	-1	-1	0	0	0
普防17				104	30	35	-1	-1	0	0	0
雷防14				103	35	40	-1	-1	0	0	0
减少冰冻时间16				106	50	60	-1	-1	0	0	0
减少中毒时间12				108	40	60	-1	-1	0	0	0
减少中毒时间13				108	60	90	-1	-1	0	0	0
减少眩晕时间9				110	40	60	-1	-1	0	0	0
会心一击率3				70	5	7	-1	-1	0	0	0
会心一击率4				70	7	10	-1	-1	0	0	0
百毒穿心2				139	3	3	-1	-1	384	384	0
毒防19				101	35	55	-1	-1	0	0	0
天王战意2				139	3	3	-1	-1	36	36	0
冰心仙子2				139	3	3	-1	-1	337	337	0
天下无狗2				139	3	3	-1	-1	359	359	0
云龙击2				139	3	3	-1	-1	361	361	0
行龙不雨2				139	3	3	-1	-1	14	14	0
金刚伏魔2				139	3	3	-1	-1	10	10	0
斩龙诀2				139	3	3	-1	-1	29	29	0
回风落雁2				139	3	3	-1	-1	30	30	0
惊雷斩2				139	3	3	-1	-1	34	34	0
一叶知秋2				139	3	3	-1	-1	85	85	0
风花雪月2				139	3	3	-1	-1	99	99	0
风卷残雪2				139	3	3	-1	-1	102	102	0
毒砂掌2				139	3	3	-1	-1	63	63	0
血刀毒杀2				139	3	3	-1	-1	65	65	0
唐门暗器2				139	3	3	-1	-1	43	43	0
漫天花雨2				139	3	3	-1	-1	54	54	0
夺魂镖2				139	3	3	-1	-1	47	47	0
见人伸手2				139	3	3	-1	-1	122	122	0
沿门托钵2				139	3	3	-1	-1	119	119	0
弹指烈焰2				139	3	3	-1	-1	145	145	0
怒雷指2				139	3	3	-1	-1	153	153	0
三环套月2				139	3	3	-1	-1	267	267	0
呼风法2				139	3	3	-1	-1	169	169	0
狂雷震地2				139	3	3	-1	-1	179	179	0
经验4				176	15	15	-1	-1	0	0	0
经验5				176	5	5	-1	-1	0	0	0
生命40				85	399	399	-1	-1	0	0	0
内力30				89	399	399	-1	-1	0	0	0
打击回复14				113	48	68	-1	-1	0	0	0
摩诃无量2				139	3	3	-1	-1	19	19	0
行云诀2				139	3	3	-1	-1	31	31	0
身法11				98	16	20	-1	-1	0	0	0
乘龙诀2				139	3	3	-1	-1	324	324	0
天王枪法2				139	3	3	-1	-1	23	23	0
断魂刺2				139	3	3	-1	-1	40	40	0
减少冰冻时间16				106	40	60	-1	-1	0	0	0
推窗望月2				139	3	3	-1	-1	385	385	0
四象同归2				139	3	3	-1	-1	82	82	0
身法12				98	4	8	-1	-1	0	0	0
静心诀2				139	3	3	-1	-1	33	33	0
毒防20				101	15	20	-1	-1	0	0	0
翠烟刀法1				139	3	3	-1	-1	95	95	0
反弹4				117	16	20	-1	-1	0	0	0
雪影2				139	3	3	-1	-1	109	109	0
无形蛊2				139	3	3	-1	-1	69	69	0
内毒伤4				172	25	35	-1	-1	0	0	0
五毒奇经2				139	3	3	-1	-1	75	75	0
生命41				85	320	400	-1	-1	0	0	0
打击回复15				113	49	59	-1	-1	0	0	0
追心箭2				139	3	3	-1	-1	50	50	0
内力31				89	420	500	-1	-1	0	0	0
霹雳弹2				139	3	3	-1	-1	45	45	0
降龙掌2				139	3	3	-1	-1	274	274	0
打狗阵2				139	3	3	-1	-1	124	124	0
生命42				85	420	500	-1	-1	0	0	0
内力32				89	320	400	-1	-1	0	0	0
残阳如血2				139	3	3	-1	-1	135	135	0
天忍刀法2				139	3	3	-1	-1	131	131	0
内功7				100	22	30	-1	-1	0	0	0
雷防15				103	40	55	-1	-1	0	0	0
一气三清符2				139	3	3	-1	-1	178	178	0
狂风骤电2				139	3	3	-1	-1	176	176	0
减少中毒时间14				108	50	60	-1	-1	0	0	0
毒防21				101	10	20	-1	-1	0	0	0
毒防22				101	10	15	-1	-1	0	0	0
全抗16				114	8	8	-1	-1	0	0	0
火防16				102	15	15	-1	-1	0	0	0
减少中毒时间15				108	10	10	-1	-1	0	0	0
内电伤7				171	120	200	-1	-1	0	0	0
内电伤8				171	240	300	-1	-1	0	0	0
内冰伤13				169	240	300	-1	-1	0	0	0
内力33				89	180	240	-1	-1	0	0	0
生命43				85	180	240	-1	-1	0	0	0
减少中毒时间16				108	30	50	-1	-1	0	0	0
内火伤8				170	200	300	-1	-1	0	0	0
内电伤9				171	80	120	-1	-1	0	0	0
外普%12				126	30	50	-1	-1	6	6	0
会心率3				146	3	5	-1	-1	0	0	0
内毒伤5				172	50	60	-1	-1	0	0	0
物理伤害吸收4				134	6	10	-1	-1	0	0	0
打击回复16				113	45	55	-1	-1	0	0	0
雷防16				103	25	25	-1	-1	0	0	0
减少眩晕时间10				110	50	50	-1	-1	0	0	0
全抗17				114	22	22	-1	-1	0	0	0
全抗18				114	18	22	-1	-1	0	0	0
普防18				104	15	20	-1	-1	0	0	0
内毒伤6				172	15	35	-1	-1	0	0	0
幸运8				135	25	25	-1	-1	0	0	0
身法13				98	5	5	-1	-1	0	0	0
力量11				97	5	5	-1	-1	0	0	0
体力12				93	240	240	-1	-1	0	0	0
抵消伤害1				223	60	60	-1	-1	0	0	0
生命44				85	300	300	-1	-1	0	0	0
内力34				89	300	300	-1	-1	0	0	0
火防17				102	5	5	-1	-1	0	0	0
普防19				104	5	5	-1	-1	0	0	0
雷防17				103	5	5	-1	-1	0	0	0
冰防15				105	5	5	-1	-1	0	0	0
毒防23				101	5	5	-1	-1	0	0	0
全抗19				114	5	5	-1	-1	0	0	0
生命45				85	100	100	-1	-1	0	0	0
内力35				89	100	100	-1	-1	0	0	0
火防18				102	25	25	-1	-1	0	0	0
普防20				104	17	17	-1	-1	0	0	0
雷防18				103	25	25	-1	-1	0	0	0
冰防16				105	25	25	-1	-1	0	0	0
毒防24				101	25	25	-1	-1	0	0	0
