0:3	Account: minhvu25091990	 Name: DocXinh	 Level: 81	 IP Address: 116.110.119.64 : 13647
11:24	Account: minhtrand9	 Name: talaancuop	 Level: 80	 IP Address: 14.174.119.34 : 51064
11:24	Account: thoakhungzz2	 Name: FZ1313	 Level: 80	 IP Address: 171.231.196.243 : 49202
11:24	Account: minhtrand9	 Name: 098080	 Level: 80	 IP Address: 14.174.119.34 : 51066
11:24	Account: thoakhungzz2	 Name: XeTiÒn2	 Level: 86	 IP Address: 171.231.196.243 : 49204
11:24	Account: thoakhungzz2	 Name: NM®Çubß	 Level: 89	 IP Address: 171.231.196.243 : 49206
11:24	Account: minhtrand10	 Name: trumaancuop	 Level: 80	 IP Address: 14.174.119.34 : 51069
11:24	Account: minhtrand10	 Name: sanboss6	 Level: 80	 IP Address: 14.174.119.34 : 51071
11:24	Account: minhtrand10	 Name: 32131311	 Level: 80	 IP Address: 14.174.119.34 : 51073
11:24	Account: minhtrand11	 Name: 313133	 Level: 80	 IP Address: 14.174.119.34 : 51075
11:24	Account: minhtrand11	 Name: 443243242	 Level: 80	 IP Address: 14.174.119.34 : 51077
11:25	Account: vu25091990	 Name: DocXinh22	 Level: 81	 IP Address: 116.110.119.64 : 50001
11:25	Account: minhtrand11	 Name: 23123213	 Level: 80	 IP Address: 14.174.119.34 : 51079
11:25	Account: minhtrand12	 Name: 65456464	 Level: 80	 IP Address: 14.174.119.34 : 51082
11:25	Account: minhtrand12	 Name: 322312	 Level: 80	 IP Address: 14.174.119.34 : 51084
11:25	Account: tranvinh03	 Name: ItsÙMyLife	 Level: 94	 IP Address: 14.176.227.170 : 60106
11:25	Account: minhtrand12	 Name: 3213131111	 Level: 80	 IP Address: 14.174.119.34 : 51086
11:25	Account: minhtrand13	 Name: 32131111122	 Level: 80	 IP Address: 14.174.119.34 : 51089
11:25	Account: thoakhungzz3	 Name: Ho¶KúL©n	 Level: 96	 IP Address: 171.231.196.243 : 49209
11:25	Account: thoakhungzz3	 Name: XeTiÒn3	 Level: 86	 IP Address: 171.231.196.243 : 49211
11:25	Account: minhtrand13	 Name: 3242400	 Level: 80	 IP Address: 14.174.119.34 : 51091
11:25	Account: vu25091990	 Name: DocXinh23	 Level: 81	 IP Address: 116.110.119.64 : 50010
11:25	Account: minhtrand13	 Name: 31231310	 Level: 80	 IP Address: 14.174.119.34 : 51095
11:25	Account: minhtrand14	 Name: 32131312	 Level: 80	 IP Address: 14.174.119.34 : 51097
11:26	Account: minhtrand14	 Name: 213131	 Level: 80	 IP Address: 14.174.119.34 : 51099
11:26	Account: minhtrand14	 Name: 3113120	 Level: 80	 IP Address: 14.174.119.34 : 51105
11:26	Account: minhtrand15	 Name: 321321	 Level: 80	 IP Address: 14.174.119.34 : 51108
11:26	Account: vu25091990	 Name: DocXinh22	 Level: 81	 IP Address: 116.110.119.64 : 37082
11:28	Account: vu25091990	 Name: DocXinh23	 Level: 81	 IP Address: 116.110.119.64 : 50032
11:33	Account: tranvinh05	 Name: 75ÙNhíÙMétÙNg­êi	 Level: 95	 IP Address: 14.176.227.170 : 60108
11:39	Account: sarin	 Name: DocXinh6	 Level: 81	 IP Address: 116.110.119.64 : 38766
11:39	Account: thoakhungss2	 Name: Khodo4	 Level: 1	 IP Address: 171.231.196.243 : 49362
11:42	Account: thoakhungz6	 Name: CùcÙKúÙBèÙL¸o	 Level: 101	 IP Address: 171.231.196.243 : 49365
11:44	Account: vunguyen1987	 Name: 444444444	 Level: 80	 IP Address: 115.73.16.148 : 52102
11:44	Account: vunguyen1987	 Name: 3333333333	 Level: 80	 IP Address: 115.73.16.148 : 52104
11:44	Account: vunguyen1987	 Name: 22222222	 Level: 84	 IP Address: 115.73.16.148 : 52106
11:45	Account: vunguyen1985	 Name: binbin2	 Level: 82	 IP Address: 115.73.16.148 : 52108
11:45	Account: nonhandl	 Name: NhËmÙNg·ÙHµnhÙ	 Level: 120	 IP Address: 183.80.160.143 : 49729
11:45	Account: nonhantl	 Name: V«DanhÙThÇnÙT¨ng	 Level: 102	 IP Address: 183.80.160.143 : 49732
11:46	Account: thoakhungss1	 Name: khodo2	 Level: 80	 IP Address: 171.231.196.243 : 49367
11:46	Account: 83vunguyen	 Name: AnhThang	 Level: 80	 IP Address: 115.73.16.148 : 52110
11:46	Account: nonhannm	 Name: NhËmÙDoanhÙDoanh	 Level: 101	 IP Address: 183.80.160.143 : 49734
11:46	Account: nonhanvd	 Name: Vâ§angÙCh©nÙNh©n	 Level: 98	 IP Address: 183.80.160.143 : 49736
11:47	Account: nonhantn1	 Name: Th¸nhÙC«	 Level: 101	 IP Address: 183.80.160.143 : 49738
11:47	Account: nonhandm	 Name: VuaÙ§ÆtÙBoom	 Level: 87	 IP Address: 183.80.160.143 : 49740
11:49	Account: thoakhungss1	 Name: Khodo1	 Level: 80	 IP Address: 171.231.196.243 : 49369
11:50	Account: thoakhungss1	 Name: khodo3	 Level: 80	 IP Address: 171.231.196.243 : 49371
11:50	Account: sarin	 Name: DocXinh7	 Level: 81	 IP Address: 116.110.119.64 : 50213
11:50	Account: thoakhungss2	 Name: Khodo4	 Level: 80	 IP Address: 171.231.196.243 : 49373
11:52	Account: thoakhungss1	 Name: khodo2	 Level: 80	 IP Address: 171.231.196.243 : 49375
11:53	Account: vunguyen1987	 Name: 444444444	 Level: 80	 IP Address: 171.231.196.243 : 49377
11:53	Account: sarin	 Name: DocXinh7	 Level: 81	 IP Address: 116.110.119.64 : 50244
11:53	Account: vunguyen1987	 Name: 3333333333	 Level: 80	 IP Address: 171.231.196.243 : 49379
11:53	Account: nonhandovip	 Name: LayÙPhoi	 Level: 80	 IP Address: 183.80.160.143 : 49792
11:53	Account: vunguyen1987	 Name: 22222222	 Level: 84	 IP Address: 171.231.196.243 : 49381
11:54	Account: dophoi1	 Name: PhoiEpDo	 Level: 80	 IP Address: 183.80.160.143 : 49795
11:54	Account: sarin	 Name: DocXinh7	 Level: 81	 IP Address: 116.110.119.64 : 50261
11:56	Account: dophoi1	 Name: SinhLucNoiLuc	 Level: 80	 IP Address: 183.80.160.143 : 49797
11:56	Account: hieuadnew	 Name: AdminÙSHXT	 Level: 91	 IP Address: 113.176.144.109 : 50931
11:56	Account: thoakhungss1	 Name: khodo2	 Level: 80	 IP Address: 171.231.196.243 : 49383
11:56	Account: nonhandm	 Name: VuaÙ§ÆtÙBoom	 Level: 87	 IP Address: 183.80.160.143 : 49802
11:56	Account: thoakhungss1	 Name: Khodo1	 Level: 80	 IP Address: 171.231.196.243 : 49385
11:57	Account: thoakhungss1	 Name: khodo3	 Level: 80	 IP Address: 171.231.196.243 : 49387
11:57	Account: thoakhungss2	 Name: Khodo4	 Level: 80	 IP Address: 171.231.196.243 : 49389
11:59	Account: thoakhungz6	 Name: CùcÙKúÙBèÙL¸o	 Level: 101	 IP Address: 171.231.196.243 : 49391
12:1	Account: sarin	 Name: DocXinh7	 Level: 81	 IP Address: 116.110.119.64 : 50318
12:6	Account: sarin	 Name: DocXinh6	 Level: 81	 IP Address: 116.110.119.64 : 39647
12:6	Account: sarin	 Name: DocXinh8	 Level: 81	 IP Address: 116.110.119.64 : 39903
12:7	Account: sarin	 Name: DocXinh6	 Level: 81	 IP Address: 116.110.119.64 : 39487
12:7	Account: sarin	 Name: DocXinh8	 Level: 81	 IP Address: 116.110.119.64 : 50390
12:7	Account: sarin1	 Name: DocXinh9	 Level: 81	 IP Address: 116.110.119.64 : 50392
12:8	Account: sarin1	 Name: DocXinh9	 Level: 81	 IP Address: 116.110.119.64 : 50397
12:11	Account: thoakhungs2	 Name: FZ1200	 Level: 83	 IP Address: 171.231.196.243 : 49393
12:11	Account: thoakhungss1	 Name: khodo2	 Level: 80	 IP Address: 171.231.196.243 : 49395
12:12	Account: thoakhungss1	 Name: Khodo1	 Level: 80	 IP Address: 171.231.196.243 : 49397
12:13	Account: thoakhungss1	 Name: khodo3	 Level: 80	 IP Address: 171.231.196.243 : 49399
12:14	Account: thoakhungs1	 Name: Boss03	 Level: 80	 IP Address: 171.231.196.243 : 49401
12:14	Account: thaocanh114	 Name: ThiªnÙNh·	 Level: 106	 IP Address: 117.4.153.2 : 49286
12:14	Account: thoakhungs1	 Name: Boss02	 Level: 80	 IP Address: 171.231.196.243 : 49403
12:14	Account: thaocanh115	 Name: C«nÙL«nÙ§aoÙPh¸p	 Level: 93	 IP Address: 117.4.153.2 : 49290
12:14	Account: thoakhungs2	 Name: M¶nhAB2	 Level: 80	 IP Address: 171.231.196.243 : 49405
12:14	Account: thoakhungs3	 Name: HiepDam	 Level: 80	 IP Address: 171.231.196.243 : 49407
12:14	Account: thoakhungs4	 Name: Ch¶Lôa	 Level: 86	 IP Address: 171.231.196.243 : 49409
12:16	Account: th115	 Name: S¨nÙBossÙ01	 Level: 81	 IP Address: 117.4.153.2 : 49293
12:18	Account: sangtpbrvt1	 Name: SangTp111	 Level: 97	 IP Address: 113.184.175.82 : 49340
12:18	Account: sangtpbrvt2	 Name: SangTp222	 Level: 95	 IP Address: 113.184.175.82 : 49367
12:19	Account: thoakhungz6	 Name: CùcÙKúÙBèÙL¸o	 Level: 101	 IP Address: 171.231.196.243 : 49411
12:20	Account: sangtpbrvt3	 Name: money8	 Level: 81	 IP Address: 113.184.175.82 : 49411
12:20	Account: 83vunguyen	 Name: AnhThang	 Level: 80	 IP Address: 115.73.16.148 : 52656
12:21	Account: vunguyen1987	 Name: 3333333333	 Level: 80	 IP Address: 115.73.16.148 : 52660
12:21	Account: sangtpbrvt4	 Name: money9	 Level: 83	 IP Address: 113.184.175.82 : 49462
12:22	Account: sarin1	 Name: DocXinh9	 Level: 81	 IP Address: 116.110.119.64 : 44848
12:23	Account: sangtpbrvt7	 Name: sdfdfsdfsdf	 Level: 80	 IP Address: 113.184.175.82 : 49503
12:23	Account: thaocanh114	 Name: ThiªnÙNh·	 Level: 106	 IP Address: 117.4.153.2 : 49303
12:30	Account: sangtpbrvt9	 Name: money10	 Level: 83	 IP Address: 113.184.175.82 : 49746
12:31	Account: sangtpbrvt15	 Name: money7	 Level: 83	 IP Address: 113.184.175.82 : 49772
12:32	Account: th113	 Name: L·oÙ§¹i	 Level: 80	 IP Address: 117.4.153.2 : 49316
12:40	Account: luukt52	 Name: NgoalongTN	 Level: 94	 IP Address: 123.25.218.214 : 48535
12:43	Account: tranvinh05	 Name: 75ÙNhíÙMétÙNg­êi	 Level: 95	 IP Address: 14.176.227.170 : 60553
12:43	Account: tranvinh06	 Name: ThiªnÙ§ÞaÙV«ÙCù	 Level: 95	 IP Address: 14.176.227.170 : 60551
12:43	Account: tranvinh04	 Name: B­ímÙEmÙCãÙ§éc	 Level: 100	 IP Address: 14.176.227.170 : 60554
12:43	Account: tranvinh01	 Name: Ù2SaoÙ1g¹ch	 Level: 103	 IP Address: 14.176.227.170 : 60555
12:43	Account: tranvinh02	 Name: HuúnhÙNi	 Level: 94	 IP Address: 14.176.227.170 : 60557
12:45	Account: th117	 Name: ChøaÙ§åÙ01	 Level: 80	 IP Address: 117.4.153.2 : 49349
12:46	Account: thaocanh117	 Name: UyÓnÙNh·	 Level: 103	 IP Address: 117.4.153.2 : 49355
12:47	Account: nonhantn1	 Name: Th¸nhÙC«	 Level: 101	 IP Address: 183.80.160.143 : 49834
12:54	Account: nonhandl	 Name: NhËmÙNg·ÙHµnhÙ	 Level: 120	 IP Address: 183.80.160.143 : 49857
12:54	Account: nonhantl	 Name: V«DanhÙThÇnÙT¨ng	 Level: 102	 IP Address: 183.80.160.143 : 49860
12:55	Account: nonhannm	 Name: NhËmÙDoanhÙDoanh	 Level: 101	 IP Address: 183.80.160.143 : 49863
12:55	Account: nonhantn1	 Name: Th¸nhÙC«	 Level: 101	 IP Address: 183.80.160.143 : 49865
12:56	Account: 83vunguyen	 Name: TaLaThang	 Level: 80	 IP Address: 171.231.196.243 : 49414
12:56	Account: nonhanvd	 Name: Vâ§angÙCh©nÙNh©n	 Level: 98	 IP Address: 183.80.160.143 : 49867
12:56	Account: 83vunguyen	 Name: AnhThang	 Level: 80	 IP Address: 171.231.196.243 : 49416
12:57	Account: thoakhungz6	 Name: CùcÙKúÙBèÙL¸o	 Level: 101	 IP Address: 171.231.196.243 : 49418
13:0	Account: bihulk01	 Name: Ng¹oÙLµÙGiÕt	 Level: 109	 IP Address: 1.53.53.167 : 30125
13:10	Account: nonhandm	 Name: ThµnhÙC¸tÙT­ÙH·n	 Level: 81	 IP Address: 183.80.160.143 : 49875
13:25	Account: vubluish1	 Name: vipngamy	 Level: 87	 IP Address: 42.115.137.159 : 35906
13:30	Account: th114	 Name: ¡nÙMµyÙLµÙTao	 Level: 92	 IP Address: 117.4.153.2 : 49436
13:30	Account: thaocanh116	 Name: S­ThÇyÙXuèngNói	 Level: 93	 IP Address: 117.4.153.2 : 49438
13:33	Account: ctcshxt1	 Name: hangve	 Level: 80	 IP Address: 118.70.81.103 : 3482
13:33	Account: thangvl1	 Name: DocDoc1	 Level: 80	 IP Address: 118.70.81.103 : 3484
13:35	Account: thangvl7	 Name: 7NgaMiBuffBuff	 Level: 97	 IP Address: 118.70.81.103 : 3494
13:38	Account: tuanlovekun5	 Name: §­êngÙM«n	 Level: 107	 IP Address: 171.241.118.130 : 1895
13:38	Account: tuanlovekun4	 Name: 5StÙThiªnÙNhÉn	 Level: 99	 IP Address: 171.241.118.130 : 1897
13:38	Account: thangvl10	 Name: 10HáaCaCa	 Level: 100	 IP Address: 118.70.81.103 : 3501
13:38	Account: tuanlovekun3	 Name: 4StÙThiªnÙNhÉn	 Level: 99	 IP Address: 171.241.118.130 : 1899
13:38	Account: tuanlovekun2	 Name: 3StÙThiªnÙNhÉn	 Level: 100	 IP Address: 171.241.118.130 : 1901
13:39	Account: tuanlovekun1	 Name: 2StÙThiªnÙNhÉn	 Level: 96	 IP Address: 171.241.118.130 : 1909
13:39	Account: tuanlovekun	 Name: 1StÙThiªnÙNhÉn	 Level: 100	 IP Address: 171.241.118.130 : 1913
13:40	Account: thangvl5	 Name: 5TLSuco	 Level: 105	 IP Address: 118.70.81.103 : 3505
13:54	Account: sarin1990	 Name: DocDepGhe	 Level: 81	 IP Address: 116.110.119.64 : 49602
13:55	Account: sarin1990	 Name: DocDepGhe	 Level: 81	 IP Address: 116.110.119.64 : 49637
13:56	Account: sarin	 Name: DocXinh6	 Level: 81	 IP Address: 116.110.119.64 : 49649
13:56	Account: sarin1	 Name: DocXinh9	 Level: 81	 IP Address: 116.110.119.64 : 49657
13:58	Account: tranvinh06	 Name: ThiªnÙ§ÞaÙV«ÙCù	 Level: 95	 IP Address: 113.189.123.125 : 60694
13:58	Account: tranvinh03	 Name: ItsÙMyLife	 Level: 94	 IP Address: 113.189.123.125 : 60696
13:58	Account: tranvinh05	 Name: 75ÙNhíÙMétÙNg­êi	 Level: 95	 IP Address: 113.189.123.125 : 60695
13:58	Account: tranvinh01	 Name: Ù2SaoÙ1g¹ch	 Level: 103	 IP Address: 113.189.123.125 : 60700
13:58	Account: tranvinh04	 Name: B­ímÙEmÙCãÙ§éc	 Level: 100	 IP Address: 113.189.123.125 : 60701
13:58	Account: tranvinh02	 Name: HuúnhÙNi	 Level: 94	 IP Address: 113.189.123.125 : 60702
13:58	Account: sarin1	 Name: DocXinh10	 Level: 81	 IP Address: 116.110.119.64 : 49693
14:0	Account: vubluish	 Name: truongchannhan	 Level: 91	 IP Address: 42.115.137.159 : 51613
14:0	Account: vubluish1	 Name: vipngamy	 Level: 87	 IP Address: 42.115.137.159 : 57922
14:0	Account: vubluish2	 Name: hoalongcaka	 Level: 87	 IP Address: 42.115.137.159 : 26879
14:2	Account: tranvinh01	 Name: Ù2SaoÙ1g¹ch	 Level: 103	 IP Address: 113.189.123.125 : 60704
14:3	Account: minhtrand1	 Name: GiÕtÙS­Ù§ètÙChïa	 Level: 101	 IP Address: 14.174.119.34 : 49264
14:5	Account: minhtrand7	 Name: buffbuff	 Level: 80	 IP Address: 14.174.119.34 : 49270
14:5	Account: minhtrand7	 Name: ancuopday	 Level: 80	 IP Address: 14.174.119.34 : 49275
14:5	Account: minhtrand8	 Name: 8657575	 Level: 80	 IP Address: 14.174.119.34 : 49278
14:5	Account: minhtrand8	 Name: 313131	 Level: 80	 IP Address: 14.174.119.34 : 49280
14:5	Account: minhtrand8	 Name: cuopcuop	 Level: 80	 IP Address: 14.174.119.34 : 49285
14:6	Account: minhtrand9	 Name: 3213131	 Level: 80	 IP Address: 14.174.119.34 : 49287
14:6	Account: minhtrand9	 Name: talaancuop	 Level: 80	 IP Address: 14.174.119.34 : 49292
14:6	Account: minhtrand9	 Name: 098080	 Level: 80	 IP Address: 14.174.119.34 : 49294
14:6	Account: minhtrand10	 Name: trumaancuop	 Level: 80	 IP Address: 14.174.119.34 : 49296
14:6	Account: minhtrand10	 Name: sanboss6	 Level: 80	 IP Address: 14.174.119.34 : 49298
14:6	Account: minhtrand10	 Name: 32131311	 Level: 80	 IP Address: 14.174.119.34 : 49300
14:7	Account: minhtrand11	 Name: 313133	 Level: 80	 IP Address: 14.174.119.34 : 49302
14:7	Account: minhtrand11	 Name: 443243242	 Level: 80	 IP Address: 14.174.119.34 : 49304
14:7	Account: minhtrand12	 Name: 65456464	 Level: 80	 IP Address: 14.174.119.34 : 49307
14:7	Account: minhtrand13	 Name: 32131111122	 Level: 80	 IP Address: 14.174.119.34 : 49309
14:7	Account: minhtrand7	 Name: 3143242	 Level: 81	 IP Address: 14.174.119.34 : 49311
14:7	Account: sarin1	 Name: DocXinh11	 Level: 81	 IP Address: 116.110.119.64 : 49895
14:7	Account: minhtrand7	 Name: buffbuff	 Level: 80	 IP Address: 14.174.119.34 : 49314
14:8	Account: minhtrand7	 Name: ancuopday	 Level: 80	 IP Address: 14.174.119.34 : 49316
14:8	Account: minhtrand8	 Name: 8657575	 Level: 80	 IP Address: 14.174.119.34 : 49318
14:8	Account: minhtrand8	 Name: 313131	 Level: 80	 IP Address: 14.174.119.34 : 49320
14:8	Account: minhtrand8	 Name: cuopcuop	 Level: 80	 IP Address: 14.174.119.34 : 49322
14:8	Account: minhtrand9	 Name: 3213131	 Level: 80	 IP Address: 14.174.119.34 : 49324
14:8	Account: minhtrand27	 Name: sanboss13	 Level: 80	 IP Address: 14.174.119.34 : 49326
14:9	Account: minhtrand26	 Name: sanboss11	 Level: 80	 IP Address: 14.174.119.34 : 49328
14:10	Account: minhtrand7	 Name: 3143242	 Level: 81	 IP Address: 14.174.119.34 : 49334
14:10	Account: minhtrand21	 Name: sanboss3	 Level: 80	 IP Address: 14.174.119.34 : 49337
14:12	Account: luukt56	 Name: NgoalongND	 Level: 96	 IP Address: 123.25.218.214 : 50127
14:14	Account: minhtrand1	 Name: GiÕtÙS­Ù§ètÙChïa	 Level: 101	 IP Address: 14.174.119.34 : 49343
14:22	Account: sarin2	 Name: DocXinh12	 Level: 82	 IP Address: 116.110.119.64 : 50079
14:22	Account: thangvl5	 Name: 5TLSuco	 Level: 105	 IP Address: 118.70.81.103 : 3645
14:22	Account: thangvl6	 Name: 6Vâ®ang	 Level: 100	 IP Address: 118.70.81.103 : 3647
14:24	Account: thangvl7	 Name: 7NgaMiBuffBuff	 Level: 97	 IP Address: 118.70.81.103 : 3656
14:26	Account: minhtrand21	 Name: sanboss3	 Level: 80	 IP Address: 14.174.119.34 : 49360
14:27	Account: luukt53	 Name: NgoalongVD	 Level: 123	 IP Address: 123.25.218.214 : 47178
14:28	Account: tuanlovekun5	 Name: §­êngÙM«n	 Level: 107	 IP Address: 171.241.118.130 : 49890
14:28	Account: tuanlovekun3	 Name: 4StÙThiªnÙNhÉn	 Level: 99	 IP Address: 171.241.118.130 : 49898
14:28	Account: tuanlovekun	 Name: 1StÙThiªnÙNhÉn	 Level: 100	 IP Address: 171.241.118.130 : 2371
14:28	Account: tuanlovekun1	 Name: 2StÙThiªnÙNhÉn	 Level: 96	 IP Address: 171.241.118.130 : 2373
14:28	Account: tuanlovekun4	 Name: 5StÙThiªnÙNhÉn	 Level: 99	 IP Address: 171.241.118.130 : 49912
14:28	Account: tuanlovekun2	 Name: 3StÙThiªnÙNhÉn	 Level: 100	 IP Address: 171.241.118.130 : 49918
14:29	Account: xuxuka010	 Name: KaTaNa10	 Level: 92	 IP Address: 118.68.5.193 : 14049
14:30	Account: xuxuka01	 Name: OÙNyÙNoNgÙNoiÙO	 Level: 101	 IP Address: 118.68.5.193 : 27308
14:31	Account: longyen011	 Name: MrÙLong	 Level: 94	 IP Address: 14.187.167.3 : 54458
14:32	Account: minhtrand3	 Name: HáaÙLongÙTµÙNh©n	 Level: 103	 IP Address: 14.174.119.34 : 49363
14:32	Account: thangvl7	 Name: 7NgaMiBuffBuff	 Level: 97	 IP Address: 118.70.81.103 : 3702
14:33	Account: thangvl8	 Name: 8ThóyYªnTû	 Level: 100	 IP Address: 118.70.81.103 : 3705
14:33	Account: thangvl9	 Name: 9§écV«Biªn	 Level: 100	 IP Address: 118.70.81.103 : 3709
14:34	Account: thangvl10	 Name: 10HáaCaCa	 Level: 100	 IP Address: 118.70.81.103 : 3712
14:35	Account: xuxuka06	 Name: KaTaNa06	 Level: 93	 IP Address: 118.68.5.193 : 49485
14:35	Account: sangtpbrvt15	 Name: money7	 Level: 83	 IP Address: 113.184.175.82 : 53596
14:35	Account: vunguyen1989	 Name: khongbietten	 Level: 94	 IP Address: 115.73.16.148 : 55178
14:35	Account: nonhanvd	 Name: Vâ§angÙCh©nÙNh©n	 Level: 98	 IP Address: 183.80.160.143 : 49955
14:35	Account: nonhantn1	 Name: Th¸nhÙC«	 Level: 101	 IP Address: 183.80.160.143 : 49956
14:35	Account: thaocanh116	 Name: S­ThÇyÙXuèngNói	 Level: 93	 IP Address: 117.4.153.2 : 49636
14:35	Account: longyen010	 Name: BXÙLong	 Level: 102	 IP Address: 14.187.167.3 : 54488
14:35	Account: minhtrand3	 Name: HáaÙLongÙTµÙNh©n	 Level: 103	 IP Address: 14.174.119.34 : 49394
14:35	Account: xuxuka010	 Name: KaTaNa10	 Level: 92	 IP Address: 118.68.5.193 : 44899
14:35	Account: tranvinh02	 Name: HuúnhÙNi	 Level: 94	 IP Address: 113.189.123.125 : 60734
14:35	Account: minhtrand1	 Name: GiÕtÙS­Ù§ètÙChïa	 Level: 101	 IP Address: 14.174.119.34 : 49395
14:35	Account: sangtpbrvt2	 Name: SangTp222	 Level: 95	 IP Address: 113.184.175.82 : 53598
14:35	Account: xuxuka09	 Name: KaTaNa09	 Level: 92	 IP Address: 118.68.5.193 : 17052
14:35	Account: tranvinh05	 Name: 75ÙNhíÙMétÙNg­êi	 Level: 95	 IP Address: 113.189.123.125 : 60735
14:35	Account: luukt53	 Name: NgoalongVD	 Level: 123	 IP Address: 123.25.218.214 : 47422
14:35	Account: nonhantn2	 Name: ThiªnÙNhÉnÙ02	 Level: 87	 IP Address: 113.161.186.65 : 50659
14:35	Account: sangtpbrvt	 Name: SangTp	 Level: 113	 IP Address: 113.184.175.82 : 52576
14:35	Account: th114	 Name: ¡nÙMµyÙLµÙTao	 Level: 92	 IP Address: 117.4.153.2 : 49637
14:35	Account: tranvinh03	 Name: ItsÙMyLife	 Level: 94	 IP Address: 113.189.123.125 : 60736
14:35	Account: xuxuka07	 Name: KaTaNa7	 Level: 92	 IP Address: 118.68.5.193 : 5869
14:35	Account: nam92hd1	 Name: ThÇnÙT¨ng	 Level: 98	 IP Address: 27.73.192.221 : 2724
14:35	Account: tuanlovekun	 Name: 1StÙThiªnÙNhÉn	 Level: 100	 IP Address: 171.241.118.130 : 2411
14:35	Account: nam92hd4	 Name: HoaÙR¬iÙCöaÙPhËt	 Level: 97	 IP Address: 27.73.192.221 : 17955
14:35	Account: timlaivohien2	 Name: EyeSmile6	 Level: 85	 IP Address: 14.233.97.112 : 15041
14:35	Account: minhtrand21	 Name: sanboss3	 Level: 80	 IP Address: 14.174.119.34 : 49396
14:35	Account: hieuham1996	 Name: TriÖuÙTöÙLong	 Level: 109	 IP Address: 118.71.192.89 : 40140
14:35	Account: sangtpbrvt9	 Name: money10	 Level: 83	 IP Address: 113.184.175.82 : 53599
14:35	Account: thoakhungzz6	 Name: KinhBáMÑ	 Level: 102	 IP Address: 171.231.196.243 : 49453
14:35	Account: bando	 Name: HDÙMÑThiªnH¹	 Level: 114	 IP Address: 118.71.192.89 : 23695
14:35	Account: thoakhungz5	 Name: §õngÙChäcÙTao	 Level: 109	 IP Address: 171.231.196.243 : 49454
14:35	Account: longyen017	 Name: VipÙTN	 Level: 91	 IP Address: 14.187.167.3 : 54491
14:35	Account: sangtpbrvt5	 Name: SangTp555	 Level: 90	 IP Address: 113.184.175.82 : 52578
14:35	Account: tuanlovekun3	 Name: 4StÙThiªnÙNhÉn	 Level: 99	 IP Address: 171.241.118.130 : 49948
14:35	Account: thaocanh114	 Name: ThiªnÙNh·	 Level: 106	 IP Address: 117.4.153.2 : 49640
14:35	Account: thoakhungz6	 Name: CùcÙKúÙBèÙL¸o	 Level: 101	 IP Address: 171.231.196.243 : 49452
14:35	Account: thoakhungz2	 Name: ThÝchÙ¡nÙ§¹pÙKo	 Level: 104	 IP Address: 171.231.196.243 : 49455
14:35	Account: vubluish	 Name: truongchannhan	 Level: 92	 IP Address: 42.115.137.159 : 26951
14:35	Account: nonhantl	 Name: V«DanhÙThÇnÙT¨ng	 Level: 102	 IP Address: 183.80.160.143 : 49959
14:35	Account: timlaivohien1	 Name: EyeSmile2	 Level: 85	 IP Address: 14.233.97.112 : 15265
14:35	Account: longyen011	 Name: MrÙLong	 Level: 94	 IP Address: 14.187.167.3 : 54492
14:35	Account: tuanlovekun5	 Name: §­êngÙM«n	 Level: 107	 IP Address: 171.241.118.130 : 49950
14:35	Account: vunguyen1984	 Name: BinBin	 Level: 85	 IP Address: 115.73.16.148 : 55182
14:35	Account: nam92hd3	 Name: ThiªnÙ§ÞaÙV«ÙCùc	 Level: 99	 IP Address: 27.73.192.221 : 2728
14:35	Account: sangtpbrvt1	 Name: SangTp111	 Level: 97	 IP Address: 113.184.175.82 : 53602
14:35	Account: kingvl4	 Name: HDÙbuff	 Level: 86	 IP Address: 118.71.192.89 : 51053
14:35	Account: nam92hd2	 Name: PhongÙThÇn	 Level: 98	 IP Address: 27.73.192.221 : 17961
14:35	Account: tuanlovekun4	 Name: 5StÙThiªnÙNhÉn	 Level: 99	 IP Address: 171.241.118.130 : 2417
14:35	Account: xuxuka08	 Name: KaTaNa8	 Level: 92	 IP Address: 118.68.5.193 : 9135
14:35	Account: kingvl1	 Name: KimLongKAKA	 Level: 81	 IP Address: 118.71.192.89 : 7095
14:35	Account: banhang1	 Name: 1234566789	 Level: 83	 IP Address: 118.71.192.89 : 20491
14:35	Account: nonhandl	 Name: NhËmÙNg·ÙHµnhÙ	 Level: 120	 IP Address: 183.80.160.143 : 49960
14:35	Account: timlaivohien3	 Name: EyeSmile7	 Level: 83	 IP Address: 14.233.97.112 : 15521
14:35	Account: xuxuka01	 Name: OÙNyÙNoNgÙNoiÙO	 Level: 101	 IP Address: 118.68.5.193 : 45806
14:35	Account: sangtpbrvt10	 Name: money111	 Level: 86	 IP Address: 113.184.175.82 : 52581
14:35	Account: tuanlovekun2	 Name: 3StÙThiªnÙNhÉn	 Level: 100	 IP Address: 171.241.118.130 : 49952
14:35	Account: nam92hd5	 Name: CuÙChäcÙNg­îc	 Level: 96	 IP Address: 27.73.192.221 : 2730
14:35	Account: longyen014	 Name: TNÙCñaÙLong	 Level: 96	 IP Address: 14.187.167.3 : 54496
14:35	Account: hieuadnew	 Name: AdminÙSHXT	 Level: 91	 IP Address: 113.176.144.109 : 53404
14:35	Account: vunguyen1986	 Name: 5555555	 Level: 83	 IP Address: 115.73.16.148 : 55183
