Ãỷ³ặ	ItemGenre	DetailType	ParticularType	ả¯ằưẻÄẳỵÃỷ	ảễểƯẻùẳỵậữềý	¿ớảẩ	áòảẩ	ậàÃữẻÄìệ	ẻồééấụéễ	ẳÛáủ	àẩẳả	ấầãủàỵãÅ	ằự´Ăấụéễ1ÀàéÍ	ằự´Ăấụéễ1ìợéĂệà	ằự´Ăấụéễ1ìợ´úệà	ằự´Ăấụéễ2ÀàéÍ	ằự´Ăấụéễ2ìợéĂệà	ằự´Ăấụéễ2ìợ´úệà	ằự´Ăấụéễ3ÀàéÍ	ằự´Ăấụéễ3ìợéĂệà	ằự´Ăấụéễ3ìợ´úệà	ằự´Ăấụéễ4ÀàéÍ	ằự´Ăấụéễ4ìợéĂệà	ằự´Ăấụéễ4ìợ´úệà	ằự´Ăấụéễ5ÀàéÍ	ằự´Ăấụéễ5ìợéĂệà	ằự´Ăấụéễ5ìợ´úệà	ằự´Ăấụéễ6ÀàéÍ	ằự´Ăấụéễ6ìợéĂệà	ằự´Ăấụéễ6ìợ´úệà	ằự´Ăấụéễ7ÀàéÍ	ằự´Ăấụéễ7ìợéĂệà	ằự´Ăấụéễ7ìợ´úệà	éốầúấụéễ1ÀàéÍ	éốầúấụéễ1ấýệà	éốầúấụéễ2ÀàéÍ	éốầúấụéễ2ấýệà	éốầúấụéễ3ÀàéÍ	éốầúấụéễ3ấýệà	éốầúấụéễ4ÀàéÍ	éốầúấụéễ4ấýệà	éốầúấụéễ5ÀàéÍ	éốầúấụéễ5ấýệà	éốầúấụéễ6ÀàéÍ	éốầúấụéễ6ấýệà	ÄĐãăấụéễậữềý1	ÄĐãăấụéễậữềý2	ÄĐãăấụéễậữềý3	ÄĐãăấụéễậữềý4	ÄĐãăấụéễậữềý5	ÄĐãăấụéễậữềý6	ậựễÚèìì°	Àâếạèìì°	Àâếạèìì°éũºÅ	Àâếạèìì°ềỵ²ỉấụéễ1	Àâếạèìì°ềỵ²ỉấụéễ2	¿ẫẩÛÁảấụéễấýÁ¿	¿ẫẩÛÁảẻặáệặãệấ			
Huyền Viên Huyết Sát Yêu Đái	0	6	1	\spr\item\equip\sash\obj-sash18.spr	33	2	1	Bộ trang bị Ngũ Độc đao pháp cấp Huyền Viên(5)	4	99999	10	0	30	160	160	31	80	80																36	120	39	3									954	933	974	1176	1333	1293	163	104	5	1497	1273					
Huyền Viên Huyết Sát Bí Trang	0	2	2	\spr\item\equip\armor\obj-ma-cloth09-3.spr	22	2	3	Bộ trang bị Ngũ Độc đao pháp cấp Huyền Viên(6)	0	99999	10	0	30	720	720	31	90	90																36	120	39	3									954	853	974	1016	1235	1293	163	104	6	1426						
Huyền Viên Huyết Sát Đao	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	Bộ trang bị Ngũ Độc đao pháp cấp Huyền Viên(7)	2	99999	10	0	28	40	40	29	114	114	167	-30	-30	31	99	99										36	120	39	3									1350	893	1076	1196	1318	1293	163	104	7	1426						
Huyền Viên Huyết Sát Ngoa	0	5	1	\spr\item\equip\boots\obj-shoes10.spr	26	2	2	Bộ trang bị Ngũ Độc đao pháp cấp Huyền Viên(8)	1	99999	10	0	30	160	160	31	80	80																36	120	39	3									954	873	974	1016	1256	1293	163	104	8	1426	1273					
Huyền Viên Huyết Sát Yêu Trụy	0	9	1	\spr\item\equip\waist\obj-waist14.spr	36	1	2	Bộ trang bị Ngũ Độc đao pháp cấp Huyền Viên(9)	3	99999	10	0																						36	120	39	3									953	913	973	1216	1333	1293	163	104	9	1498	1273					
Huyền Viên Huyết Sát Hạ Giới	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Bộ trang bị Ngũ Độc đao pháp cấp Huyền Viên(10)	4	99999	10	0																						36	120	39	3									953	933	973	1176	1333	1293	163	104	10	130						
Huyền Viên Lãnh Tâm Hạng Liên	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	Bộ trang bị Đường Môn phi đao cấp Huyền Viên(1)	4	99999	10	0																						36	120	39	2									953	933	974	1176	996	1293	164	105	1	1500	1273					
Huyền Viên Lãnh Tâm Quán	0	7	3	\spr\item\equip\cap\obj-ma-cap12-3.spr	28	2	2	Bộ trang bị Đường Môn phi đao cấp Huyền Viên(2)	0	99999	10	0	30	360	360	31	85	85																36	120	39	2									954	853	973	1016	1333	1293	164	105	2	1426	1273					
Huyền Viên Lãnh Tâm Thượng Giới	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Bộ trang bị Đường Môn phi đao cấp Huyền Viên(3)	2	99999	10	0																						36	120	39	2									953	893	974	1196	1333	1293	164	105	3	130						
Huyền Viên Lãnh Tâm Hộ Uyển	0	8	1	\spr\item\equip\bangle\obj-bangle16.spr	34	1	2	Bộ trang bị Đường Môn phi đao cấp Huyền Viên(4)	1	99999	10	0	30	135	135	31	80	80																36	120	39	2									954	873	973	1016	1333	1293	164	105	4	1426	1273					
Huyền Viên Lãnh Tâm Triền Yêu	0	6	0	\spr\item\equip\sash\obj-sash10.spr	32	2	1	Bộ trang bị Đường Môn phi đao cấp Huyền Viên(5)	3	99999	10	0	30	160	160	31	80	80																36	120	39	2									954	913	974	1216	1333	1293	164	105	5	1501	1273					
Huyền Viên Lãnh Tâm Giáp Y	0	2	3	\spr\item\equip\armor\obj-ma-cloth12-3.spr	22	2	3	Bộ trang bị Đường Môn phi đao cấp Huyền Viên(6)	4	99999	10	0	30	720	720	31	90	90																36	120	39	2									954	933	974	1176	1235	1293	164	105	6	1426						
Huyền Viên Lãnh Tâm Phi Đao	0	1	1	\spr\item\equip\rangeweapon\obj-adart12.spr	15	1	1	Bộ trang bị Đường Môn phi đao cấp Huyền Viên(7)	0	99999	10	0	28	44	44	29	100	100	167	-30	-30	31	99	99										36	120	39	2									1354	853	1076	1016	1333	1293	164	105	7	1426						
Huyền Viên Lãnh Tâm Lý	0	5	1	\spr\item\equip\boots\obj-shoes08.spr	26	2	2	Bộ trang bị Đường Môn phi đao cấp Huyền Viên(8)	2	99999	10	0	30	160	160	31	80	80																36	120	39	2									954	893	974	1196	1256	1293	164	105	8	1426	1273					
Huyền Viên Lãnh Tâm Trụy	0	9	1	\spr\item\equip\waist\obj-waist12.spr	36	1	2	Bộ trang bị Đường Môn phi đao cấp Huyền Viên(9)	1	99999	10	0																						36	120	39	2									953	873	973	1016	1333	1293	164	105	9	1502	1273					
Huyền Viên Lãnh Tâm Hạ Giới	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Bộ trang bị Đường Môn phi đao cấp Huyền Viên(10)	3	99999	10	0																						36	120	39	2									953	913	973	1216	1333	1293	164	105	10	130						
Huyền Viên Vô Tình Hạng Liên	0	4	1	\spr\item\equip\nick\obj-neck18.spr	36	2	1	Bộ trang bị Đường Môn nỏ tiễn cấp Huyền Viên(1)	4	99999	10	0																						36	120	39	2									953	933	974	1176	996	1293	165	106	1	1500	1273					
Huyền Viên Vô Tình Quán	0	7	3	\spr\item\equip\cap\obj-ma-cap12-3.spr	28	2	2	Bộ trang bị Đường Môn nỏ tiễn cấp Huyền Viên(2)	0	99999	10	0	30	360	360	31	85	85																36	120	39	2									954	853	973	1016	1333	1293	165	106	2	1426	1273					
Huyền Viên Vô Tình Thượng Giới	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Bộ trang bị Đường Môn nỏ tiễn cấp Huyền Viên(3)	2	99999	10	0																						36	120	39	2									953	893	974	1196	1333	1293	165	106	3	130						
Huyền Viên Vô Tình Hộ Uyển	0	8	1	\spr\item\equip\bangle\obj-bangle16.spr	34	1	2	Bộ trang bị Đường Môn nỏ tiễn cấp Huyền Viên(4)	1	99999	10	0	30	135	135	31	80	80																36	120	39	2									954	873	973	1016	1333	1293	165	106	4	1426	1273					
Huyền Viên Vô Tình Thúc Yêu	0	6	0	\spr\item\equip\sash\obj-sash09.spr	32	2	1	Bộ trang bị Đường Môn nỏ tiễn cấp Huyền Viên(5)	3	99999	10	0	30	160	160	31	80	80																36	120	39	2									954	913	974	1216	1333	1293	165	106	5	1501	1273					
Huyền Viên Vô Tình Giáp	0	2	3	\spr\item\equip\armor\obj-ma-cloth12-3.spr	22	2	3	Bộ trang bị Đường Môn nỏ tiễn cấp Huyền Viên(6)	4	99999	10	0	30	720	720	31	90	90																36	120	39	2									954	933	974	1176	1235	1293	165	106	6	1426	1273					
Huyền Viên Vô Tình Tụ Tiễn	0	1	2	\spr\item\equip\rangeweapon\obj-adart26.spr	17	2	2	Bộ trang bị Đường Môn nỏ tiễn cấp Huyền Viên(7)	0	99999	10	0	28	46	46	29	102	102	167	-30	-30	31	99	99										36	120	39	2									1354	853	1076	1016	1333	1293	165	106	7	1426						
Huyền Viên Vô Tình Lý	0	5	1	\Spr\item\equip\boots\obj-shoes07.spr	26	2	2	Bộ trang bị Đường Môn nỏ tiễn cấp Huyền Viên(8)	2	99999	10	0	30	160	160	31	80	80																36	120	39	2									954	893	974	1196	1256	1293	165	106	8	1426						
Huyền Viên Vô Tình Yêu Trụy	0	9	1	\spr\item\equip\waist\obj-waist14.spr	36	1	2	Bộ trang bị Đường Môn nỏ tiễn cấp Huyền Viên(9)	1	99999	10	0																						36	120	39	2									953	873	973	1016	1333	1293	165	106	9	1504	1273					
Huyền Viên Vô Tình Hạ Giới	0	3	0	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Bộ trang bị Đường Môn nỏ tiễn cấp Huyền Viên(10)	3	99999	10	0																						36	120	39	2									953	913	973	1216	1333	1293	165	106	10	130						
Huyền Viên Hàn Quang Liên	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	Bộ trang bị Đường Môn phi tiêu cấp Huyền Viên(1)	4	99999	10	0																						36	120	39	2									953	933	974	1176	996	1293	166	107	1	1500	1273					
Huyền Viên Hàn Quang Phát Quán	0	7	3	\spr\item\equip\cap\obj-ma-cap12-3.spr	28	2	2	Bộ trang bị Đường Môn phi tiêu cấp Huyền Viên(2)	0	99999	10	0	30	360	360	31	85	85																36	120	39	2									954	853	973	1016	1333	1293	166	107	2	1426	1273					
Huyền Viên Hàn Quang Thượng Giới	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Bộ trang bị Đường Môn phi tiêu cấp Huyền Viên(3)	2	99999	10	0																						36	120	39	2									953	893	974	1196	1333	1293	166	107	3	130						
Huyền Viên Hàn Quang Hộ Uyển	0	8	1	\spr\item\equip\bangle\obj-bangle16.spr	34	1	2	Bộ trang bị Đường Môn phi tiêu cấp Huyền Viên(4)	1	99999	10	0	30	135	135	31	80	80																36	120	39	2									954	873	973	1016	1333	1293	166	107	4	1426	1273					
Huyền Viên Hàn Quang Thúc Yêu	0	6	0	\spr\item\equip\sash\obj-sash08.spr	32	2	1	Bộ trang bị Đường Môn phi tiêu cấp Huyền Viên(5)	3	99999	10	0	30	160	160	31	80	80																36	120	39	2									954	913	974	1216	1333	1293	166	107	5	1501	1273					
Huyền Viên Hàn Quang Giáp Y	0	2	3	\spr\item\equip\armor\obj-ma-cloth12-3.spr	22	2	3	Bộ trang bị Đường Môn phi tiêu cấp Huyền Viên(6)	4	99999	10	0	30	720	720	31	90	90																36	120	39	2									954	933	974	1176	1235	1293	166	107	6	1426	1273					
Huyền Viên Hàn Quang Tiêu	0	1	0	\spr\item\equip\rangeweapon\obj-adart04.spr	15	1	1	Bộ trang bị Đường Môn phi tiêu cấp Huyền Viên(7)	0	99999	10	0	28	42	42	29	98	98	167	-30	-30	31	99	99										36	120	39	2									1354	853	1076	1016	1333	1293	166	107	7	1426						
Huyền Viên Hàn Quang Lý	0	5	1	\spr\item\equip\boots\obj-shoes10.spr	26	2	2	Bộ trang bị Đường Môn phi tiêu cấp Huyền Viên(8)	2	99999	10	0	30	160	160	31	80	80																36	120	39	2									954	893	974	1196	1256	1293	166	107	8	1426						
Huyền Viên Hàn Quang Trụy	0	9	1	\spr\item\equip\waist\obj-waist11.spr	34	1	2	Bộ trang bị Đường Môn phi tiêu cấp Huyền Viên(9)	1	99999	10	0																						36	120	39	2									953	873	973	1016	1333	1293	166	107	9	1506	1273					
Huyền Viên Hàn Quang Hạ Giới	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Bộ trang bị Đường Môn phi tiêu cấp Huyền Viên(10)	3	99999	10	0																						36	120	39	2									953	913	973	1216	1333	1293	166	107	10	130						
Huyền Viên Dương Cương Hạng Liên	0	4	1	\spr\item\equip\nick\obj-neck16.spr	36	2	1	Bộ trang bị Cái Bang chưởng pháp cấp Huyền Viên(1)	1	99999	10	0																						36	120	39	6									953	853	974	1016	996	1293	167	108	1	1508	1273					
Huyền Viên Dương Cương Đầu Hoàn	0	7	5	\spr\item\equip\cap\obj-ma-cap18-3.spr	28	2	2	Bộ trang bị Cái Bang chưởng pháp cấp Huyền Viên(2)	3	99999	10	0	30	360	360	31	85	85																36	120	39	6									954	893	973	1196	1333	1293	167	108	2	1426	1273					
Huyền Viên Dương Cương Thượng Giới	0	3	0	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Bộ trang bị Cái Bang chưởng pháp cấp Huyền Viên(3)	4	99999	10	0																						36	120	39	6									953	873	974	1016	1333	1293	167	108	3	130						
Huyền Viên Dương Cương Hộ Uyển	0	8	1	\spr\item\equip\bangle\obj-bangle16.spr	34	1	2	Bộ trang bị Cái Bang chưởng pháp cấp Huyền Viên(4)	0	99999	10	0	30	135	135	31	80	80																36	120	39	6									954	913	973	1216	1333	1293	167	108	4	1426	1273					
Huyền Viên Dương Cương Thúc Yêu	0	6	0	\spr\item\equip\sash\obj-sash06.spr	32	2	1	Bộ trang bị Cái Bang chưởng pháp cấp Huyền Viên(5)	2	99999	10	0	30	160	160	31	80	80																36	120	39	6									954	933	974	1176	1333	1293	167	108	5	1509	1273					
Huyền Viên Dương Cương Cái Y	0	2	5	\spr\item\equip\armor\obj-ma-cloth18-3.spr	22	2	3	Bộ trang bị Cái Bang chưởng pháp cấp Huyền Viên(6)	1	99999	10	0	30	720	720	31	90	90																36	120	39	6									954	853	974	1016	1235	1293	167	108	6	1426	1273					
Huyền Viên Dương Cương Triền Thủ	0	0	6	\spr\item\equip\bangle\obj-bangle15.spr	9	1	2	Bộ trang bị Cái Bang chưởng pháp cấp Huyền Viên(7)	3	99999	10	0	28	40	40	29	100	100	167	-30	-30	31	99	99										36	120	39	6									1358	893	1136	1196	1333	1293	167	108	7	1426						
Huyền Viên Dương Cương Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	Bộ trang bị Cái Bang chưởng pháp cấp Huyền Viên(8)	4	99999	10	0	30	160	160	31	80	80																36	120	39	6									954	873	974	1016	1256	1293	167	108	8	1510	1273					
Huyền Viên Dương Cương Yêu Trụy	0	9	1	\spr\item\equip\waist\obj-waist18.spr	36	1	2	Bộ trang bị Cái Bang chưởng pháp cấp Huyền Viên(9)	0	99999	10	0																						36	120	39	6									953	913	973	1216	1333	1293	167	108	9	1426						
Huyền Viên Dương Cương Hạ Giới	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	Bộ trang bị Cái Bang chưởng pháp cấp Huyền Viên(10)	2	99999	10	0																						36	120	39	6									953	933	973	1176	1333	1293	167	108	10	130						
Huyền Viên Chiến Long Hạng Liên	0	4	1	\spr\item\equip\nick\obj-neck16.spr	36	2	1	Bộ trang bị Cái Bang côn pháp cấp Huyền Viên(1)	0	99999	10	0																						36	120	39	6									953	853	974	1016	996	1293	168	109	1	1512	1273					
Huyền Viên Chiến Long Đầu Hoàn	0	7	5	\spr\item\equip\cap\obj-ma-cap18-3.spr	28	2	2	Bộ trang bị Cái Bang côn pháp cấp Huyền Viên(2)	2	99999	10	0	30	360	360	31	85	85																36	120	39	6									954	893	973	1196	1333	1293	168	109	2	1426	1273					
Huyền Viên Chiến Long Thượng Giới	0	3	0	\spr\item\equip\ring\obj-ring08.spr	37	1	1	Bộ trang bị Cái Bang côn pháp cấp Huyền Viên(3)	1	99999	10	0																						36	120	39	6									953	873	974	1016	1333	1293	168	109	3	130						
Huyền Viên Chiến Long Hộ Uyển	0	8	1	\spr\item\equip\bangle\obj-bangle17.spr	34	1	2	Bộ trang bị Cái Bang côn pháp cấp Huyền Viên(4)	3	99999	10	0	30	135	135	31	80	80																36	120	39	6									954	913	973	1216	1333	1293	168	109	4	1513	1273					
Huyền Viên Chiến Long Thúc Yêu	0	6	0	\spr\item\equip\sash\obj-sash05.spr	33	2	1	Bộ trang bị Cái Bang côn pháp cấp Huyền Viên(5)	4	99999	10	0	30	160	160	31	80	80																36	120	39	6									954	933	974	1176	1333	1293	168	109	5	1426						
Huyền Viên Chiến Long Cái Y	0	2	5	\spr\item\equip\armor\obj-ma-cloth18-3.spr	22	2	3	Bộ trang bị Cái Bang côn pháp cấp Huyền Viên(6)	0	99999	10	0	30	720	720	31	90	90																36	120	39	6									954	853	974	1016	1235	1293	168	109	6	1426	1273					
Huyền Viên Chiến Long Trượng	0	0	2	\spr\item\equip\closeweapon\obj-staff13.spr	11	1	4	Bộ trang bị Cái Bang côn pháp cấp Huyền Viên(7)	2	99999	10	0	28	69	69	29	128	128	167	-30	-30	31	99	99										36	120	39	6									1352	893	1076	1196	1318	1293	168	109	7	1426						
Huyền Viên Chiến Long Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	Bộ trang bị Cái Bang côn pháp cấp Huyền Viên(8)	1	99999	10	0	30	160	160	31	80	80																36	120	39	6									954	873	974	1016	1256	1293	168	109	8	1426	1273					
Huyền Viên Chiến Long Yêu Trụy	0	9	1	\spr\item\equip\waist\obj-waist18.spr	36	1	2	Bộ trang bị Cái Bang côn pháp cấp Huyền Viên(9)	3	99999	10	0																						36	120	39	6									953	913	973	1216	1333	1293	168	109	9	1514	1273					
Huyền Viên Chiến Long Hạ Giới	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	Bộ trang bị Cái Bang côn pháp cấp Huyền Viên(10)	4	99999	10	0																						36	120	39	6									953	933	973	1176	1333	1293	168	109	10	130						
Huyền Viên Lạc Hồn Hạng Khuyên	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	Bộ trang bị Thiên Nhẫn mâu pháp cấp Huyền Viên(1)	0	99999	10	0																						36	120	39	7									953	853	974	1016	996	1293	169	110	1	1516	1273					
Huyền Viên Lạc Hồn Khôi	0	7	2	\spr\item\equip\cap\obj-ma-cap09-3.spr	28	2	2	Bộ trang bị Thiên Nhẫn mâu pháp cấp Huyền Viên(2)	2	99999	10	0	30	360	360	31	85	85																36	120	39	7									954	893	973	1196	1333	1293	169	110	2	1426	1273					
Huyền Viên Lạc Hồn Thượng Giới	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	Bộ trang bị Thiên Nhẫn mâu pháp cấp Huyền Viên(3)	1	99999	10	0																						36	120	39	7									953	873	974	1016	1333	1293	169	110	3	130						
Huyền Viên Lạc Hồn Hộ Uyển	0	8	1	\Spr\item\equip\bangle\obj-bangle13.spr	34	1	2	Bộ trang bị Thiên Nhẫn mâu pháp cấp Huyền Viên(4)	3	99999	10	0	30	135	135	31	80	80																36	120	39	7									954	913	973	1216	1333	1293	169	110	4	1517	1273					
Huyền Viên Lạc Hồn Yêu Đái	0	6	1	\spr\item\equip\sash\obj-sash16.spr	33	2	1	Bộ trang bị Thiên Nhẫn mâu pháp cấp Huyền Viên(5)	4	99999	10	0	30	160	160	31	80	80																36	120	39	7									954	933	974	1176	1333	1293	169	110	5	1426						
Huyền Viên Lạc Hồn Giáp Y	0	2	2	\spr\item\equip\armor\obj-ma-cloth09-3.spr	22	2	3	Bộ trang bị Thiên Nhẫn mâu pháp cấp Huyền Viên(6)	0	99999	10	0	30	720	720	31	90	90																36	120	39	7									954	853	974	1016	1235	1293	169	110	6	1426	1273					
Huyền Viên Lạc Hồn Thương	0	0	3	\spr\item\equip\closeweapon\obj-spear04.spr	12	1	4	Bộ trang bị Thiên Nhẫn mâu pháp cấp Huyền Viên(7)	2	99999	10	0	28	18	18	29	158	158	167	-30	-30	31	99	99										36	120	39	7									1353	893	1076	1196	1318	1293	169	110	7	1426						
Huyền Viên Lạc Hồn Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	Bộ trang bị Thiên Nhẫn mâu pháp cấp Huyền Viên(8)	1	99999	10	0	30	160	160	31	80	80																36	120	39	7									954	873	974	1016	1256	1293	169	110	8	1426	1273					
Huyền Viên Lạc Hồn Bội	0	9	1	\spr\item\equip\waist\obj-waist18.spr	36	1	2	Bộ trang bị Thiên Nhẫn mâu pháp cấp Huyền Viên(9)	3	99999	10	0																						36	120	39	7									953	913	973	1216	1333	1293	169	110	9	1518	1273					
Huyền Viên Lạc Hồn Hạ Giới	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	Bộ trang bị Thiên Nhẫn mâu pháp cấp Huyền Viên(10)	4	99999	10	0																						36	120	39	7									953	933	973	1176	1333	1293	169	110	10	130						
Huyền Viên Chước Tình Hạng Liên	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	Bộ trang bị Thiên Nhẫn đao pháp cấp Huyền Viên(1)	1	99999	10	0																						36	120	39	7									953	853	974	1016	996	1293	170	111	1	1520	1273					
Huyền Viên Chước Tình Quán Miện	0	7	2	\spr\item\equip\cap\obj-ma-cap09-3.spr	28	2	2	Bộ trang bị Thiên Nhẫn đao pháp cấp Huyền Viên(2)	3	99999	10	0	30	360	360	31	85	85																36	120	39	7									954	893	973	1196	1333	1293	170	111	2	1426						
Huyền Viên Chước Tình Thượng Giới	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	Bộ trang bị Thiên Nhẫn đao pháp cấp Huyền Viên(3)	4	99999	10	0																						36	120	39	7									953	873	974	1016	1333	1293	170	111	3	130						
Huyền Viên Chước Tình Hộ Uyển	0	8	1	\Spr\item\equip\bangle\obj-bangle13.spr	34	1	2	Bộ trang bị Thiên Nhẫn đao pháp cấp Huyền Viên(4)	0	99999	10	0	30	135	135	31	80	80																36	120	39	7									954	913	973	1216	1333	1293	170	111	4	1521	1273					
Huyền Viên Chước Tình Yêu Đái	0	6	0	\spr\item\equip\sash\obj-sash10.spr	33	2	1	Bộ trang bị Thiên Nhẫn đao pháp cấp Huyền Viên(5)	2	99999	10	0	30	160	160	31	80	80																36	120	39	7									954	933	974	1176	1333	1293	170	111	5	1426	1273					
Huyền Viên Chước Tình Giáp Y	0	2	2	\spr\item\equip\armor\obj-ma-cloth09-3.spr	22	2	3	Bộ trang bị Thiên Nhẫn đao pháp cấp Huyền Viên(6)	1	99999	10	0	30	720	720	31	90	90																36	120	39	7									954	853	974	1016	1235	1293	170	111	6	1426	1273					
Huyền Viên Chước Tình Đao	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	Bộ trang bị Thiên Nhẫn đao pháp cấp Huyền Viên(7)	3	99999	10	0	28	40	40	29	100	100	167	-30	-30	31	99	99										36	120	39	7									1357	893	1136	1196	1333	1293	170	111	7	1426						
Huyền Viên Chước Tình Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	Bộ trang bị Thiên Nhẫn đao pháp cấp Huyền Viên(8)	4	99999	10	0	30	160	160	31	80	80																36	120	39	7									954	873	974	1016	1256	1293	170	111	8	1426	1273					
Huyền Viên Chước Tình Bội	0	9	1	\spr\item\equip\waist\obj-waist13.spr	34	1	2	Bộ trang bị Thiên Nhẫn đao pháp cấp Huyền Viên(9)	0	99999	10	0																						36	120	39	7									953	913	973	1216	1333	1293	170	111	9	1522	1273					
Huyền Viên Chước Tình Hạ Giới	0	3	0	\spr\item\equip\ring\obj-ring03.spr	37	1	1	Bộ trang bị Thiên Nhẫn đao pháp cấp Huyền Viên(10)	2	99999	10	0																						36	120	39	7									953	933	973	1176	1333	1293	170	111	10	130						
Huyền Viên Tam Phong Phù	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	Bộ trang bị Võ Đang quyền pháp cấp Huyền Viên(1)	3	99999	10	0																						36	120	39	8									953	853	974	1216	996	1293	171	112	1	1524	1273					
Huyền Viên Tam Phong Quán	0	7	1	\spr\item\equip\cap\obj-ma-cap06-3.spr	28	2	2	Bộ trang bị Võ Đang quyền pháp cấp Huyền Viên(2)	4	99999	10	0	30	360	360	31	85	85																36	120	39	8									954	893	973	1176	1333	1293	171	112	2	1426	1273					
Huyền Viên Tam Phong Thượng Giới	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	Bộ trang bị Võ Đang quyền pháp cấp Huyền Viên(3)	0	99999	10	0																						36	120	39	8									953	873	974	1016	1333	1293	171	112	3	130						
Huyền Viên Tam Phong Tụ	0	8	1	\Spr\item\equip\bangle\obj-bangle13.spr	34	1	2	Bộ trang bị Võ Đang quyền pháp cấp Huyền Viên(4)	2	99999	10	0	30	135	135	31	80	80																36	120	39	8									954	913	973	1196	1333	1293	171	112	4	1426	1273					
Huyền Viên Tam Phong Pháp Đái	0	6	1	\spr\item\equip\sash\obj-sash20.spr	33	2	1	Bộ trang bị Võ Đang quyền pháp cấp Huyền Viên(5)	1	99999	10	0	30	160	160	31	80	80																36	120	39	8									954	933	974	1016	1333	1293	171	112	5	1525	1273					
Huyền Viên Tam Phong Đạo Bào	0	2	1	\spr\item\equip\armor\obj-ma-cloth06-3.spr	24	2	3	Bộ trang bị Võ Đang quyền pháp cấp Huyền Viên(6)	3	99999	10	0	30	720	720	31	90	90																36	120	39	8									954	853	974	1216	1235	1293	171	112	6	1426	1273					
Huyền Viên Tam Phong Kiếm	0	0	0	\spr\item\equip\closeweapon\obj-sword22.spr	9	1	3	Bộ trang bị Võ Đang quyền pháp cấp Huyền Viên(7)	4	99999	10	0	28	46	46	29	86	86	167	-30	-30	31	99	99										36	120	39	8									1356	893	1156	1176	1333	1293	171	112	7	1426						
Huyền Viên Tam Phong Lý	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	Bộ trang bị Võ Đang quyền pháp cấp Huyền Viên(8)	0	99999	10	0	30	160	160	31	80	80																36	120	39	8									954	873	974	1016	1256	1293	171	112	8	1526	1273					
Huyền Viên Tam Phong Ngọc Bội	0	9	1	\spr\item\equip\waist\obj-waist20.spr	36	1	2	Bộ trang bị Võ Đang quyền pháp cấp Huyền Viên(9)	2	99999	10	0																						36	120	39	8									953	913	973	1196	1333	1293	171	112	9	1426						
Huyền Viên Tam Phong Hạ Giới	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	Bộ trang bị Võ Đang quyền pháp cấp Huyền Viên(10)	1	99999	10	0																						36	120	39	8									953	933	973	1016	1333	1293	171	112	10	130						
Huyền Viên Tu Tâm Phù	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	Bộ trang bị Võ Đang kiếm pháp cấp Huyền Viên(1)	0	99999	10	0																						36	120	39	8									953	853	974	1216	996	1293	172	113	1	1528	1273					
Huyền Viên Tu Tâm Quán	0	7	1	\spr\item\equip\cap\obj-ma-cap06-3.spr	28	2	2	Bộ trang bị Võ Đang kiếm pháp cấp Huyền Viên(2)	2	99999	10	0	30	360	360	31	85	85																36	120	39	8									954	893	973	1176	1333	1293	172	113	2	1426	1273					
Huyền Viên Tu Tâm Thượng Giới	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	Bộ trang bị Võ Đang kiếm pháp cấp Huyền Viên(3)	1	99999	10	0																						36	120	39	8									953	873	974	1016	1333	1293	172	113	3	130						
